ID;loan_amnt;term;int_rate;installment;emp_length;home_ownership;annual_inc;purpose;title;STATE;delinq_2yrs;revol_bal;revol_util;total_pymnt;loan_status
2;2500; 60 months;15.27%;59.83;< 1 year;RENT;30000;car;bike;GA;0;1687;0.094;1014.53;1
4;10000; 36 months;13.49%;339.31;10+ years;RENT;49200;other;personel;CA;0;5598;0.21;12231.89;0
5;3000; 60 months;12.69%;67.79;1 year;RENT;80000;other;Personal;OR;0;27783;0.539;4066.908161;0
6;5000; 36 months;7.90%;156.46;3 years;RENT;36000;wedding;My wedding loan I promise to pay back;AZ;0;7963;0.283;5632.21;0
7;7000; 60 months;15.96%;170.08;8 years;RENT;47004;debt_consolidation;Loan;NC;0;17726;0.856;10137.84001;0
8;3000; 36 months;18.64%;109.43;9 years;RENT;48000;car;Car Downpayment;CA;0;8221;0.875;3939.135294;0
10;5375; 60 months;12.69%;121.45;< 1 year;RENT;15000;other;Building my credit history.;TX;0;9279;0.365;1484.59;1
11;6500; 60 months;14.65%;153.45;5 years;OWN;72000;debt_consolidation;High intrest Consolidation;AZ;0;4032;0.206;7678.017673;0
12;12000; 36 months;12.69%;402.54;10+ years;OWN;75000;debt_consolidation;Consolidation;CA;0;23336;0.671;13947.98916;0
14;3000; 36 months;9.91%;96.68;3 years;RENT;15000;credit_card;citicard fund;IL;0;7323;0.431;3480.269999;0
16;1000; 36 months;16.29%;35.31;< 1 year;RENT;28000;debt_consolidation;Debt Consolidation Loan;MO;0;6524;0.815;1270.716942;0
17;10000; 36 months;15.27%;347.98;4 years;RENT;42000;home_improvement;Home;CA;0;24043;0.702;12527.15;0
19;6000; 36 months;11.71%;198.46;1 year;MORTGAGE;84000;medical;Medical;UT;2;0;0.377;7167.072893;0
20;9200; 36 months;6.03%;280.01;6 years;RENT;77385.19;debt_consolidation;lowerratemeanseasiertogetoutofdebt!;CA;0;7314;0.231;9460.000848;0
21;20250; 60 months;15.27%;484.63;3 years;RENT;43370;debt_consolidation;Freedom From Credit Cards;TX;0;17813;0.856;27679.05;0
22;21000; 36 months;12.42%;701.73;10+ years;RENT;105000;debt_consolidation;Debt Cleanup;FL;0;32135;0.903;14034.6;1
23;10000; 36 months;11.71%;330.76;10+ years;OWN;50000;credit_card;Credit Card Loan;TX;0;10056;0.824;11907.35;0
24;10000; 36 months;11.71%;330.76;5 years;RENT;50000;debt_consolidation;Debt Consolidation;CA;0;17800;0.918;11540.89198;0
25;6000; 36 months;11.71%;198.46;1 year;RENT;76000;major_purchase;cash;CA;0;5963;0.297;2055.85;1
28;5000; 60 months;16.77%;123.65;2 years;RENT;50004;other;Other;PA;3;4345;0.595;1611.16;1
30;8500; 36 months;11.71%;281.15;< 1 year;RENT;25000;credit_card;Credit card repayment loan;MN;0;6441;0.591;10126.08844;0
32;31825; 36 months;7.90%;995.82;5 years;MORTGAGE;75000;debt_consolidation;Debt Consolidation Loan;NJ;0;23151;0.274;34886.91378;0
34;5000; 36 months;8.90%;158.77;2 years;RENT;24044;debt_consolidation;Consolidation;OR;0;2224;0.293;5715.56;0
37;10800; 36 months;9.91%;348.03;2 years;RENT;55596;;;;;;;;0
38;15000; 36 months;7.90%;469.36;1 year;RENT;45000;debt_consolidation;Debt Consolidation Loan;OH;0;6704;0.504;16663.34403;0
39;6000; 36 months;12.42%;200.5;1 year;RENT;36852;debt_consolidation;Credit Card Consolidation;AZ;0;7310;0.665;7127.722011;0
